FileName,SensorName,MOATS,Treatment,Size
2019.10.28_RESPR_T1,KrilLR11             ,12,CUR,0.0303
2019.10.28_RESPR_T1,KrilLR12             ,blank,NA,n/a
2019.10.28_RESPR_T1,KrilLR13             ,12,CUR,0.025
2019.10.28_RESPR_T1,KrilLR14             ,6,TMP,0.0193
2019.10.28_RESPR_T1,KrilLR15             ,6,TMP,0.029
2019.10.28_RESPR_T1,KrilLR16             ,8,CHG,0.0437
2019.10.28_RESPR_T1,KrilLR17             ,8,CHG,0.0329
2019.10.28_RESPR_T1,KrilLR18             ,12,CUR,0.0299
2019.10.28_RESPR_T1,KrilLR19             ,blank,NA,n/a
2019.10.28_RESPR_T1,KrILR110             ,8,CHG,0.0255
2019.10.28_RESPR_T1,KriLR111             ,6,TMP,0.0265
2019.10.28_RESPR_T1,KriLR112             ,6,TMP,0.0197
2019.10.28_RESPR_T1,KriLR113             ,6,TMP,0.044
2019.10.28_RESPR_T1,KriLR114             ,12,CUR,0.0169
2019.10.28_RESPR_T1,KriLR115             ,6,TMP,0.0349
2019.10.28_RESPR_T1,KriLR116             ,8,CHG,0.051
2019.10.28_RESPR_T1,KriLR117             ,8,CHG,0.0393
2019.10.28_RESPR_T1,KriLR118             ,6,TMP,0.0275
2019.10.28_RESPR_T1,KriLR119             ,6,TMP,0.0334
2019.10.28_RESPR_T2,KriLR220             ,12,CUR,0.0225
2019.10.28_RESPR_T2,KriLR221             ,4,AMB,0.0465
2019.10.28_RESPR_T2,KriLR222             ,4,AMB,0.0345
2019.10.28_RESPR_T2,KriLR223             ,2,CHG,0.0215
2019.10.28_RESPR_T2,KriLR224             ,blank,NA,n/a
2019.10.28_RESPR_T2,KriLR225             ,4,AMB,0.0124
2019.10.28_RESPR_T2,KriLR226             ,12,CUR,0.0227
2019.10.28_RESPR_T2,KriLR227             ,2,CHG,0.0373
2019.10.28_RESPR_T2,KriLR228             ,4,AMB,0.0269
2019.10.28_RESPR_T2,KriLR229             ,2,CHG,0.0308
2019.10.28_RESPR_T2,KriLR230             ,blank,NA,n/a
2019.10.28_RESPR_T2,KriLR231             ,4,AMB,0.027
2019.10.28_RESPR_T2,KriLR232             ,12,CUR,0.0465
2019.10.28_RESPR_T2,KriLR233             ,2,CHG,0.0416
2019.10.28_RESPR_T2,KriLR234             ,12,CUR,0.0213
2019.10.28_RESPR_T2,KriLR235             ,2,CHG,0.0429
2019.10.28_RESPR_T2,KriLR236             ,4,AMB,0.0298
2019.10.28_RESPR_T2,KriLR237             ,4,AMB,0.0466
2019.10.28_RESPR_T2,KriLR238             ,4,AMB,0.0338
2019.10.29_RESPR_T1,KRLr3_39             ,1,TMP,0.026
2019.10.29_RESPR_T1,KRLr3_40             ,1,TMP,0.0363
2019.10.29_RESPR_T1,KRLr3_41             ,7,CUR,0.0252
2019.10.29_RESPR_T1,KRLr3_42             ,13,CHG,0.015
2019.10.29_RESPR_T1,KRLr3_43             ,blank,NA,n/a
2019.10.29_RESPR_T1,KRLr3_44             ,1,TMP,0.0292
2019.10.29_RESPR_T1,KRLr3_45             ,1,TMP,0.0216
2019.10.29_RESPR_T1,KRLr3_46             ,13,CHG,0.0261
2019.10.29_RESPR_T1,KRLr3_47             ,7,CUR,0.0396
2019.10.29_RESPR_T1,KRLr3_48             ,13,CHG,0.0317
2019.10.29_RESPR_T1,KRLr3_49             ,1,TMP,0.0425
2019.10.29_RESPR_T1,KRLr3_50             ,1,TMP,0.0538
2019.10.29_RESPR_T1,KRLr3_51             ,7,CUR,0.0305
2019.10.29_RESPR_T1,KRLr3_52             ,blank,NA,n/a
2019.10.29_RESPR_T1,KRLr3_53             ,13,CHG,0.021
2019.10.29_RESPR_T1,KRLr3_54             ,1,TMP,0.0222
2019.10.29_RESPR_T1,KRLr3_55             ,1,TMP,0.0405
2019.10.29_RESPR_T1,KRLr3_56             ,13,CHG,0.0202
2019.10.29_RESPR_T1,KRLr3_57             ,7,CUR,0.045
2019.10.29_RESPR_T2,KRLr4_58             ,10,CUR,0.0248
2019.10.29_RESPR_T2,KRLr4_59             ,blank,NA,n/a
2019.10.29_RESPR_T2,KRLr4_60             ,5,AMB,0.0221
2019.10.29_RESPR_T2,KRLr4_61             ,5,AMB,0.0425
2019.10.29_RESPR_T2,KRLr4_62             ,10,CUR,0.0174
2019.10.29_RESPR_T2,KRLr4_63             ,5,AMB,0.0316
2019.10.29_RESPR_T2,KRLr4_64             ,7,AMB,0.0245
2019.10.29_RESPR_T2,KRLr4_65             ,5,CUR,0.032
2019.10.29_RESPR_T2,KRLr4_66             ,5,AMB,0.0385
2019.10.29_RESPR_T2,KRLr4_67             ,10,CUR,0.0602
2019.10.29_RESPR_T2,KRLr4_68             ,blank,NA,n/a
2019.10.29_RESPR_T2,KRLr4_69             ,13,NA,0.0252
2019.10.29_RESPR_T2,KRLr4_70             ,10,CHG,0.0315
2019.10.29_RESPR_T2,KRLr4_71             ,5,CUR,0.0179
2019.10.29_RESPR_T2,KRLr4_72             ,5,AMB,0.0327
2019.10.29_RESPR_T2,KRLr4_73             ,5,AMB,0.0226
2019.10.29_RESPR_T2,KRLr4_74             ,10,AMB,0.0408
2019.10.29_RESPR_T2,KRLr4_75             ,10,CUR,0.0271
2019.10.29_RESPR_T2,KRLr4_76             ,10,CUR,0.0246
